ccode,OECD_Country_Name,ISO3OECD,OECD_Region,OECD_simple_name
4,Afghanistan,AFG,South and South-East Asia,Afghanistan
50,Bangladesh,BGD,South and South-East Asia,Bangladesh
64,Bhutan,BTN,South and South-East Asia,Bhutan
356,India,IND,South and South-East Asia,India
364,Iran (Islamic Republic of),IRN,MENA,"Iran, Islamic Republic Of"
462,Maldives,MDV,South and South-East Asia,Maldives
524,Nepal,NPL,South and South-East Asia,Nepal
586,Pakistan,PAK,South and South-East Asia,Pakistan
144,Sri Lanka,LKA,South and South-East Asia,Sri Lanka
156,China,CHN,East Asia,China
344,"China, Hong Kong Special Administrative Region",HKG,East Asia,Hong Kong
446,"China, Macao Special Administrative Region",MAC,East Asia,Macao
408,Democratic People's Republic of Korea,PRK,East Asia,"Korea, Democratic People's Republic Of"
392,Japan,JPN,East Asia,Japan
496,Mongolia,MNG,East Asia,Mongolia
410,Republic of Korea,KOR,East Asia,"Korea, Republic Of"
96,Brunei Darussalam,BRN,South and South-East Asia,Brunei Darussalam
116,Cambodia,KHM,South and South-East Asia,Cambodia
360,Indonesia,IDN,South and South-East Asia,Indonesia
418,Lao People's Democratic Republic,LAO,South and South-East Asia,Lao People's Democratic Republic
458,Malaysia,MYS,South and South-East Asia,Malaysia
104,Myanmar,MMR,South and South-East Asia,Myanmar
608,Philippines,PHL,South and South-East Asia,Philippines
702,Singapore,SGP,South and South-East Asia,Singapore
764,Thailand,THA,South and South-East Asia,Thailand
626,Timor-Leste,TLS,South and South-East Asia,Timor-leste
704,Viet Nam,VNM,South and South-East Asia,Vietnam
51,Armenia,ARM,East. Europe and form. SU,Armenia
31,Azerbaijan,AZE,East. Europe and form. SU,Azerbaijan
48,Bahrain,BHR,MENA,Bahrain
196,Cyprus,CYP,MENA,Cyprus
720,Democratic Yemen (until 1990),,MENA,Democratic Yemen (until 1990)
268,Georgia,GEO,East. Europe and form. SU,Georgia
368,Iraq,IRQ,MENA,Iraq
376,Israel,ISR,MENA,Israel
400,Jordan,JOR,MENA,Jordan
414,Kuwait,KWT,MENA,Kuwait
422,Lebanon,LBN,MENA,Lebanon
275,Occupied Palestinian Territory,PSE,MENA,"Palestinian Territory, Occupied"
512,Oman,OMN,MENA,Oman
634,Qatar,QAT,MENA,Qatar
682,Saudi Arabia,SAU,MENA,Saudi Arabia
760,Syrian Arab Republic,SYR,MENA,Syrian Arab Republic
792,Turkey,TUR,MENA,Turkey
784,United Arab Emirates,ARE,MENA,United Arab Emirates
886,Yemen (until 1990),,MENA,Yemen (until 1990)
887,Yemen,YEM,MENA,Yemen
398,Kazakhstan,KAZ,East. Europe and form. SU,Kazakhstan
417,Kyrgyzstan,KGZ,East. Europe and form. SU,Kyrgyzstan
762,Tajikistan,TJK,East. Europe and form. SU,Tajikistan
795,Turkmenistan,TKM,East. Europe and form. SU,Turkmenistan
860,Uzbekistan,UZB,East. Europe and form. SU,Uzbekistan
12,Algeria,DZA,MENA,Algeria
818,Egypt,EGY,MENA,Egypt
434,Libya,LBY,MENA,Libyan Arab Jamahiriya
504,Morocco,MAR,MENA,Morocco
728,South Sudan,SSD,MENA,South Sudan
729,Sudan (North),,MENA,Sudan (north)
736,Sudan (until 2011),SDN,MENA,Sudan
788,Tunisia,TUN,MENA,Tunisia
732,Western Sahara,ESH,MENA,Western Sahara
204,Benin,BEN,Sub-Saharan Africa,Benin
854,Burkina Faso,BFA,Sub-Saharan Africa,Burkina Faso
132,Cape Verde,CPV,Sub-Saharan Africa,Cape Verde
